Artist Name,City,Venue,Date,Time,Ticket Price
ENGLAND V CROATIA WEDNESDAY 11TH JULY 7PM KO,WIGAN, Einsteins Bierkeller,Wed 11th Jul 2018, 4:00pm,£10.95
ENGLAND V CROATIA - CINEMA SCREENING TICKET AT THE WATER POET,LONDON, The Water Poet,Wed 11th Jul 2018, 5:00pm,£5.50
VIP - ENGLAND VS CROATIA (GUARANTEED ENTRY),RIPLEY, The Association,Wed 11th Jul 2018, 5:00pm,£3.30
FEVER-TREE G&T MASTERCLASS,NORTH SHIELDS, Wheatsheaf,Wed 11th Jul 2018, 7:00pm,£16.50
JOSH ROUSE,CAMBRIDGE, Green Mind @ The Portland Arms,Wed 11th Jul 2018, 7:00pm,£19.25
MARTHA SPENCER & FRANK RISCHE,LONDON, Green Note,Wed 11th Jul 2018, 7:00pm,£13.20
OH SEES,LEEDS, O2 Academy,Wed 11th Jul 2018, 7:00pm,£22.00
"ONE MAN, TWO GUVNORS",STOWMARKET, John Peel Centre for Creative Arts,Wed 11th Jul 2018, 7:00pm,£9.90
PEACE AND COMFORT IN LINCOLN CATHEDRAL,LINCOLN, Cathedral,Wed 11th Jul 2018, 7:00pm,£11.00
PEACE AND COMFORT IN LINCOLN CATHEDRAL,LINCOLN, Cathedral,Wed 11th Jul 2018, 7:00pm,£8.80
"SS PRESENTS: MISHKIN FITZGERALD, FELINE & STRANGE, CORINNE LUCY",NORTHAMPTON, The Lab,Wed 11th Jul 2018, 7:00pm,£5.50
TIRZAH,LONDON , Institute of Contemporary Arts (ICA),Wed 11th Jul 2018, 7:00pm,£11.00
DUB KNIGHTS PRESENTS THE DUB POETS SOCIETY,MARGATE, The Tom Thumb Theatre,Wed 11th Jul 2018, 7:30pm,£6.60
INNERVISIONS FESTIVAL: RUTH KOLEVA,LONDON , AGMP @ 100 Club,Wed 11th Jul 2018, 7:30pm,£19.25
LAUGH TRAIN HOME FT. ZOE LYONS & ROBYN PERKINS (EDINBURGH PREVIEWS),LONDON, Four Thieves Pub,Wed 11th Jul 2018, 7:30pm,£7.70
MARTYN JOSEPH,ABINGTON, The Wee Gig,Wed 11th Jul 2018, 7:30pm,£16.50
RADIO KRIOLA ENSEMBLE,LONDON, The Basement at Green Note,Wed 11th Jul 2018, 7:30pm,£11.00
ROBIN INCE + JOHN-LUKE ROBERTS,BRIGHTON, Upstairs at the Caroline of Brunswick,Wed 11th Jul 2018, 7:30pm,£7.70
SAND CASTLES,FAVERSHAM, Arden Theatre,Wed 11th Jul 2018, 7:30pm,£13.20
SAND CASTLES,FAVERSHAM, Arden Theatre,Wed 11th Jul 2018, 7:30pm,£11.00
SCARED TO DANCE PRESENTS: DARREN HAYMAN: BREAKING GODS HEART,LONDON, St Pancras Old Church,Wed 11th Jul 2018, 7:30pm,£16.50
SOUTH KENTISH TOWN,LONDON, Union Theatre,Wed 11th Jul 2018, 7:30pm,£8.25
SOUTH KENTISH TOWN,LONDON, Union Theatre,Wed 11th Jul 2018, 7:30pm,£5.50
THREE BILLBOARDS OUTSIDE EBBING MISSOURI (15),TWICKENHAM, York House,Wed 11th Jul 2018, Doors 7.30pm / Start 9.15pm,""
TRAPDOOR COMEDY PRESENT BRENNAN REECE AND ROB KEMP,MANCHESTER, Trapdoor Comedy at The Old Monkey,Wed 11th Jul 2018, 7:30pm,£5.50
TREMBLING BELLS,OXFORD, The Cellar Bar,Wed 11th Jul 2018, 7:30pm,£11.00
INIGO BLUE & THE SYSTEM,LONDON, Dublin Castle,Wed 11th Jul 2018, 7:45pm,£5.50
JOEL DOMMETT AND MAFF BROWN - TOUR PREVIEWS,NEW MALDEN, El Toro,Wed 11th Jul 2018, 7:45pm,£16.50
MORETON JAZZ PRESENTS - THE HARRY DIPLOCK QUARTET,MORETON-IN-MARSH, Redesdale Hall - Moreton Jazz,Wed 11th Jul 2018, 8:00pm,£12.00
SUSAN BLACK SINGS PIAF,LONDON, Cafe Rouge Hampstead,Wed 11th Jul 2018, 8:00pm,£13.75
THE OTHERNESS - FEEL THE SOUL TOUR 2018,EXETER, Cavern,Wed 11th Jul 2018, 8:00pm,£3.30
THE COMEDY PIT HOSTED BY THE LEGENDARY ROBIN BANKS.,LONDON, The Bedford,Wed 11th Jul 2018, 8:30pm,£3.30
SLAY LOW PRES HELLIONS / OBL / 11 JULY,LONDON, The Old Blue Last,Wed 11th Jul 2018, 10:00pm,£8.80
GELLERT SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Gellért Thermal Spa,Thu 12th Jul 2018, 9:00am,£19.80
SZÉCHENYI SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Széchenyi Thermal Spa,Thu 12th Jul 2018, 9:00am,£18.70
HUGUENOTS OF CLERKENWELL THURSDAY 12TH JULY 2018,LONDON, Farringdon Station,Thu 12th Jul 2018, 11:00am,£11.00
L_VE HANGMAN - MUFTI GAMES THEATRE CO.,"WELLS MUSEUM, 8 CATHEDRAL GREEN, BA5 2UE",,Thurs 12th July 2018. 11am and 1pm.,,""
PRIVATE VISIT TO GOLDSMITH'S CENTRE,LONDON, Goldsmiths' Centre,Thu 12th Jul 2018, 12:30pm,£5.50
STICKY ENDS - BRAVE BOLD DRAMA THEATRE CO.,"LITTLE THEATRE, CHAMBERLAIN STREET, WELLS, BA5",,Thurs 12th & Sat 14th July 2018.,,""
"'ALONE, TOGETHER' - 5PM SHOW",BUXTON, The Green Man Gallery,Thu 12th Jul 2018, 4:50pm,£9.90
"'ALONE, TOGETHER' - 5PM SHOW",BUXTON, The Green Man Gallery,Thu 12th Jul 2018, 4:50pm,£7.15
HIPPO - INVUNERABLE NOTHINGS ARTS COLLECTIVE,"BISHOPS BARN, SILVER STREET, WELLS, BA5 1US",,Thurs 12th - Sat 14th July 2018,,""
A BLOOMSBURY INHERITANCE,CHICHESTER, Pallant House Gallery,Thu 12th Jul 2018, 6:00pm,£11.00
A BLOOMSBURY INHERITANCE,CHICHESTER, Pallant House Gallery,Thu 12th Jul 2018, 6:00pm,£9.35
"'ALONE, TOGETHER' - 6.30PM SHOW",BUXTON, The Green Man Gallery,Thu 12th Jul 2018, 6:20pm,£9.90
"'ALONE, TOGETHER' - 6.30PM SHOW",BUXTON, The Green Man Gallery,Thu 12th Jul 2018, 6:20pm,£7.15
EARL THOMAS,SALTAIRE, The Live Room @ Caroline's Social Club,Thu 12th Jul 2018, 6:30pm,£16.50
SITTING ROOM LIVE: KOMPARRISON,GUISBOROUGH, The Sitting Room,Thu 12th Jul 2018, 6:30pm,£5.50
JOSH ROUSE,GUILDFORD, Boileroom,Thu 12th Jul 2018, 7:00pm,£16.50
LONE WOLF COMEDY CLUB,BICESTER, Atic,Thu 12th Jul 2018, 7:00pm,£11.00
MUSE DRONES WORLD TOUR - STALLS SEATS (UNRESERVED),HEBDEN BRIDGE, Picture House,Thu 12th Jul 2018, 7:00pm,£13.20
MUSE DRONES WORLD TOUR - STALLS SEATS (UNRESERVED),HEBDEN BRIDGE, Picture House,Thu 12th Jul 2018, 7:00pm,£12.10
MUSE DRONES WORLD TOUR - STALLS SEATS (UNRESERVED),HEBDEN BRIDGE, Picture House,Thu 12th Jul 2018, 7:00pm,£11.00
MYRA DUBOIS IN MYRA: 10,LONDON, The Grand,Thu 12th Jul 2018, 7:00pm,£11.00
MYRA DUBOIS IN MYRA: 10,LONDON, The Grand,Thu 12th Jul 2018, 7:00pm,£16.50
MYRA DUBOIS IN MYRA: 10,LONDON, The Grand,Thu 12th Jul 2018, 7:00pm,£130.00
REINA DEL CID,LONDON, Green Note,Thu 12th Jul 2018, 7:00pm,£13.20
STOLEN - DEVIL'S VIOLIN THEATRE CO.,"LITTLE THEATRE, CHAMBERLAIN STREET, WELLS, BA5",,Thurs 12th July 2018. 7pm,,""
THE BUSQUITOS,LONDON, Cafe Barcelona,Thu 12th Jul 2018, 7:00pm,£13.20
THE LAST RIDE OF THE CLENCH: THE FINAL SHOW,SHEFFIELD, The Greystones,Thu 12th Jul 2018, 7:00pm,£5.50
'STAND UP ON THE STRAND' - LIVE AT THE LIGHTHOUSE - JULY EDITION,WALMER, The Lighthouse,Thu 12th Jul 2018, 7:00pm,£8.80
'MOSTLY COMEDY' (12.07.18),HITCHIN, Town Hall,Thu 12th Jul 2018, 7:30pm,£14.30
A SECOND NIGHT WITH MARTYN JOSEPH,ABINGTON, The Wee Gig,Thu 12th Jul 2018, 7:30pm,£16.50
BILLY BRANCH & GILES ROBSON,OXFORD, The Bullingdon,Thu 12th Jul 2018, 7:30pm,£13.20
BILLY BRANCH & GILES ROBSON,OXFORD, The Bullingdon,Thu 12th Jul 2018, 7:30pm,£6.60
BLUES NIGHT FEAT BLUE TOUCH,BRACKNELL  , Acoustic Couch,Thu 12th Jul 2018, 7:30pm,£6.60
BOUTIQUE COMEDY CLUB  WITH WIL HODGSON,PORTSMOUTH, The Wave Maiden,Thu 12th Jul 2018, 7:30pm,£5.50
CAROLINE ROSE,LONDON, The Victoria,Thu 12th Jul 2018, 7:30pm,£9.90
CASTLE COMEDY JULY,BEDFORD, The Gordon Arms,Thu 12th Jul 2018, 7:30pm,£11.00
CASTLE COMEDY JULY,BEDFORD, The Gordon Arms,Thu 12th Jul 2018, 7:30pm,£8.80
CASTLE COMEDY JULY,BEDFORD, The Gordon Arms,Thu 12th Jul 2018, 7:30pm,£19.80
CATALYST CLUB,BRIGHTON, Latest MusicBar,Thu 12th Jul 2018, 7:30pm,£7.70
COMEDY THE CON PRESENTS EDINBURGH PREVIEWS WITH TOM STADE AND VERY SPECIAL GUEST.,LEWES, Con Club,Thu 12th Jul 2018, 7:30pm,£13.20
COMEDY THE CON PRESENTS EDINBURGH PREVIEWS WITH TOM STADE AND VERY SPECIAL GUEST.,LEWES, Con Club,Thu 12th Jul 2018, 7:30pm,£11.00
COMMONERS' COMEDY CLUB JULY 2018,CAMBRIDGE, Novi,Thu 12th Jul 2018, 7:30pm,£6.50
FALSTAFF (VERDI) - OPERA BOHEMIA,STRATHPEFFER, Pavilion,Thu 12th Jul 2018, 7:30pm,£17.60
FALSTAFF (VERDI) - OPERA BOHEMIA,STRATHPEFFER, Pavilion,Thu 12th Jul 2018, 7:30pm,£14.30
FREE COMEDY IN HAMMERSMITH,LONDON, The Grove bar and Restaurant,Thu 12th Jul 2018, 7:30pm,£0.00
FUR DIXON'S WTFUKUSHIMA  (FEAT. MEMBERS OF THE CRAMPS/SONICS/FUZZTONES),LONDON, Moth Club,Thu 12th Jul 2018, 7:30pm,£11.00
GENTLEMEN PREFER BLONDES (12A),HITCHIN, Queen Mother Theatre Studio,Thu 12th Jul 2018, 7:30pm,£6.60
HILARITY BITES PRESENTS SEYMOUR MACE & THE DELIGHTFUL SAUSAGE,DARLINGTON, Old English Gentleman,Thu 12th Jul 2018, 7:30pm,£5.50
INNERVISIONS FESTIVAL: LUCKY PETERSON,LONDON , AGMP @ 100 Club,Thu 12th Jul 2018, 7:30pm,£32.70
INNERVISIONS FESTIVAL: LUCKY PETERSON,LONDON , AGMP @ 100 Club,Thu 12th Jul 2018, 7:30pm,£27.50
JAN JACK'S LAUGHTER-HOUSE COMEDY CLUB PRESENTS JARRED CHRISTMAS,BASINGSTOKE, Apollo Hotel,Thu 12th Jul 2018, 7:30pm,£16.50
MY COMEDY,BIRMINGHAM, Laughing Cows,Thu 12th Jul 2018, 7:30pm,£11.00
NEW ROOTS: BENEDICT BENJAMIN (FULL BAND SHOW),LONDON, Paper Dress Vintage,Thu 12th Jul 2018, 7:30pm,£9.35
NOWHERE NIGHTS,LONDON, The Basement at Green Note,Thu 12th Jul 2018, 7:30pm,£13.20
PORCHLIGHT SMOKER,EAST GRINSTEAD, Dorset Arms,Thu 12th Jul 2018, 7:30pm,£11.00
SAND CASTLES,FAVERSHAM, Arden Theatre,Thu 12th Jul 2018, 7:30pm,£13.20
SAND CASTLES,FAVERSHAM, Arden Theatre,Thu 12th Jul 2018, 7:30pm,£11.00
SCARED TO DANCE PRESENTS: DARREN HAYMAN: BREAKING GODS HEART,LONDON, St Pancras Old Church,Thu 12th Jul 2018, 7:30pm,£16.50
SOUTH KENTISH TOWN,LONDON, Union Theatre,Thu 12th Jul 2018, 7:30pm,£8.25
SOUTH KENTISH TOWN,LONDON, Union Theatre,Thu 12th Jul 2018, 7:30pm,£5.50
THE BIPOLAR ROLLERS,LONDON, Dublin Castle,Thu 12th Jul 2018, 7:30pm,£5.50
THE LANDMARK CHOIRS ANNUAL CONCERT,TEDDINGTON, Landmark Arts Centre,Thu 12th Jul 2018, 7:30pm,£5.50
THE LOST BOYS (15),TWICKENHAM, York House,Thu 12th Jul 2018, Doors 7.30pm / Start 9.15pm,""
VITAL IDLES,LONDON, Upset the Rhythm @ The Islington,Thu 12th Jul 2018, 7:30pm,£6.60
VIKKI CLAYTON,YORK, Black Swan Inn,Thu 12th Jul 2018, 7:45pm,£9.90
VIKKI CLAYTON,YORK, Black Swan Inn,Thu 12th Jul 2018, 7:45pm,£4.95
'THE HOST' - XYZ THEATRE COMPANY,BUXTON, The Green Man Gallery,Thu 12th Jul 2018, 7:45pm,£5.50
"'ALONE, TOGETHER' - 8PM SHOW",BUXTON, The Green Man Gallery,Thu 12th Jul 2018, 7:50pm,£9.90
"'ALONE, TOGETHER' - 8PM SHOW",BUXTON, The Green Man Gallery,Thu 12th Jul 2018, 7:50pm,£7.15
ACID BOX ~ THE COSMIC DEAD ~ FLOAT ~ YETTI,BRIGHTON, Sticky Mike's Frog Bar,Thu 12th Jul 2018, 8:00pm,£8.80
BARRINGTONE,LONDON, Brixton Windmill,Thu 12th Jul 2018, 8:00pm,£4.40
BULLETS AND OCTANE,CORBY, The White Hart,Thu 12th Jul 2018, 8:00pm,£5.50
"CLAPHAM COMEDY CLUB @ BREAD & ROSES : DARREN HARRIOT, STEPHEN BAILEY  DOUBLE EDFRINGE PREVIEWS",LONDON, Clapham Comedy @ The Bread & Roses,Thu 12th Jul 2018, 8:00pm,£8.80
HEIDI TALBOT & JOHN MCCUSKER,LONDON, Hall 1 - Kings Place,Thu 12th Jul 2018, 8:00pm,£18.50
KING MOB PRESENTS: THEE MVPS + SIT DOWN + EZEKIEL DOO AT THE HOPE & RUIN,BRIGHTON, The Hope & Ruin,Thu 12th Jul 2018, 8:00pm,£5.50
LAST LAUGH COMEDY CLUB EDINBURGH PREVIEWS,SHEFFIELD, The Lescar,Thu 12th Jul 2018, 8:00pm,£8.80
LAST LAUGH COMEDY CLUB EDINBURGH PREVIEWS,SHEFFIELD, The Lescar,Thu 12th Jul 2018, 8:00pm,£5.50
"MULTI -AWARD WINNING ACTS IAN SMITH PREVIEW +SCOTT ADAMS ,RORY O HANLON",LONDON, Cafe Rouge,Thu 12th Jul 2018, 8:00pm,£8.25
"MULTI -AWARD WINNING ACTS IAN SMITH PREVIEW +SCOTT ADAMS ,RORY O HANLON",LONDON, Cafe Rouge,Thu 12th Jul 2018, 8:00pm,£5.50
"SEEVA, STRANGE EYES + QUELL",HOVE, The Brunswick,Thu 12th Jul 2018, 8:00pm,£4.40
THE SOAP GIRLS,STAMFORD, Mama Liz's Voodoo Lounge,Thu 12th Jul 2018, 8:00pm,£11.00
TOM HINGLEY (INSPIRAL CARPETS),NORTHWICH, The Salty Dog,Thu 12th Jul 2018, 8:00pm,£4.40
TOM HINGLEY (INSPIRAL CARPETS) EARLY BIRD TICKETS,NORTHWICH, The Salty Dog,Thu 12th Jul 2018, 8:00pm,£3.30
WOYZECK,CAMBRIDGE, The Leper Chapel,Thu 12th Jul 2018, 8:00pm,£16.50
COMEDY NIGHT - THE LAMB INN (RUSPER)... TICKET PRICE INCLUDES FISH 'N' CHIPS MEAL,RUSPER, The Lamb Inn,Thu 12th Jul 2018, 8:30pm,£24.75
GREAT TRAIN ROBBERY - SCRATCHWORKS THEATRE COMPANY,WELLS, Cedars Hall,Thu 12th Jul 2018, 9:15pm,£11.00
GREAT TRAIN ROBBERY - SCRATCHWORKS THEATRE COMPANY,WELLS, Cedars Hall,Thu 12th Jul 2018, 9:15pm,£7.70
"ACADIAN STRINGS- CAJUN, WESTERN SWING AND OLD TIMEY MUSIC",LONDON, Cecil Sharp House,Fri 13th Jul 2018, 7:30am,£14.30
"ACADIAN STRINGS- CAJUN, WESTERN SWING AND OLD TIMEY MUSIC",LONDON, Cecil Sharp House,Fri 13th Jul 2018, 7:30am,£13.20
GELLERT SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Gellért Thermal Spa,Fri 13th Jul 2018, 9:00am,£19.80
SZÉCHENYI SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Széchenyi Thermal Spa,Fri 13th Jul 2018, 9:00am,£18.70
RUDRY MUSIC FESTIVAL,"RUDRY PARISH HALL, RUDRY, CAERPHILLY, CF83 3DF",,Fri 13th & Sat 14th July 2018.,,""
SWANAGE JAZZ FESTIVAL,VARIOUS VENUES THROUGHOUT SWANAGE,,Fri 13th - Sun 15th July 2018.,,""
WONKYDONK FESTIVAL,"HALLS FARM, HALLS ROAD, LYTCHETT MATRAVERS, POOLE, DORSET, BH16 6DP",,Fri 13th & Sat 14th July 2018.,,""
SPOKEN WORD - HIP YAK POETRY,"THE GLOBE INN, 18-20 PRIESTS ROW, WELLS, BA5 2PY",,Fri 13th & Sun 15th July 2018,,""
WORKSHOP: DIRECTING SHAKESPEARE - SIR RICHARD EYRE,WELLS, Cathedral Education Room,Fri 13th Jul 2018, 1:00pm,£16.50
WORKSHOP: DIRECTING SHAKESPEARE - SIR RICHARD EYRE,WELLS, Cathedral Education Room,Fri 13th Jul 2018, 1:00pm,£11.00
SWANAGE JAZZ FESTIVAL 2018 STEAM TRAIN JAZZ DANCE FRIDAY JULY 13TH,SWANAGE, Various Venues,Fri 13th Jul 2018, 2:00pm,£19.25
CAVE 13 - THE SUPERSTITIOUS MAGIC SHOW,LONDON, Barons Court Theatre,Fri 13th Jul 2018, 2:30pm,£13.20
CAVE 13 - THE SUPERSTITIOUS MAGIC SHOW,LONDON, Barons Court Theatre,Fri 13th Jul 2018, 2:30pm,£11.00
SOUTH KENTISH TOWN,LONDON, Union Theatre,Fri 13th Jul 2018, 2:30pm,£8.25
WORKSHOP: MUSICAL MEMORIES - CLARKE PETERS,WELLS, Cathedral Education Room,Fri 13th Jul 2018, 2:30pm,£16.50
CHOPPING CHILLIES - CLAIR WHITEFIELD,"ALMSHOUSES CHAPEL, 5 BUBWITH'S WELLS ALMS HOUSES, CHAMBERLAIN STREET, BA5 2QE",,Fri 13th & Sat 14th July 2018,,""
"'ALONE, TOGETHER' - 5PM SHOW",BUXTON, The Green Man Gallery,Fri 13th Jul 2018, 4:50pm,£9.90
"'ALONE, TOGETHER' - 5PM SHOW",BUXTON, The Green Man Gallery,Fri 13th Jul 2018, 4:50pm,£7.15
THE RUDE MECHANICAL THEATRE COMPANY OBERONS CURE,WESTLEIGH, Tapeley Park,Fri 13th Jul 2018, 5:00pm,£14.30
2 FOR 1 MEET & GREET EARLY BIRD VIP PASS *LIMITED AVAILABILITY*,LEEDS, Morley United Services Club,Fri 13th Jul 2018, 6:00pm,£16.50
PHIL BEER (IN CONCERT BY CANDLELIGHT),CLANNABOROUGH, St Petrock's,Fri 13th Jul 2018, 6:00pm,£16.50
SOUTHPAW - WILL 2 WIN,WANTAGE, Shush Venue,Fri 13th Jul 2018, 6:00pm,£19.95
"'ALONE, TOGETHER' - 6.30PM SHOW",BUXTON, The Green Man Gallery,Fri 13th Jul 2018, 6:20pm,£9.90
"'ALONE, TOGETHER' - 6.30PM SHOW",BUXTON, The Green Man Gallery,Fri 13th Jul 2018, 6:20pm,£7.15
IG-NIGHTS 2018 - BETH FARROW,ELY, Babylon Arts,Fri 13th Jul 2018, 6:30pm,£11.00
IG-NIGHTS 2018 - BETH FARROW,ELY, Babylon Arts,Fri 13th Jul 2018, 6:30pm,£8.80
MOTEL CALIFORNIA  EAGLES TRIBUTE BAND,DARLINGTON, Harrowgate Club & Institute Ltd,Fri 13th Jul 2018, 6:30pm,£8.80
RECKLESS INTENTIONS + BACK GARDEN LIGHT // READING,READING, Facebar,Fri 13th Jul 2018, 6:45pm,£4.40
ROMEO & JULIET - THEATRESAURUS THEATRE COMPANY,"CATHEDRAL GREEN, WELLS CATHEDRAL, OFF ST ANDREWS ST, BA5 2UE",,Fri 13th & Sat 14th July 2018,,""
THE MANFREDS,NORWICH, Epic TV Studios,Fri 13th Jul 2018, 6:45pm,£28.89
ADAM BARNES,BRISTOL, Cafe Kino,Fri 13th Jul 2018, 7:00pm,£9.90
ARKANSAS DAVE,LONDON, Green Note,Fri 13th Jul 2018, 7:00pm,£11.00
BARRY HILTON LIVE IN BOURNEMOUTH,"THE OLD FIRESTATION, 36 HOLDENHURST RD, BOURNEMOUTH, BH8 8AD",,Fri 13th July 2018. Doors at 7pm,,""
FLAT LAGER EP RELEASE SHOW,OXFORD, The Bullingdon,Fri 13th Jul 2018, 7:00pm,£5.50
FLAT LAGER EP RELEASE SHOW,OXFORD, The Bullingdon,Fri 13th Jul 2018, 7:00pm,£5.50
FLAT LAGER EP RELEASE SHOW ND,OXFORD, The Bullingdon,Fri 13th Jul 2018, 7:00pm,£5.50
GREASE SING-ALONG (PG) - DOORS 7PM FOR 7.30PM FILM,Ely Cinema," The Maltings, Ship Lane, Ely, Cambs, CB7 4BB",Fri 13th Jul 2018,,""
GURT / PIST / WOLFBASTARD - REBELLION MANCHESTER,MANCHESTER, Rebellion,Fri 13th Jul 2018, 7:00pm,£5.50
HARRI ENDERSBY,COVENTRY, The Big Comfy Bookshop,Fri 13th Jul 2018, 7:00pm,£7.70
HOLYWELL MUSIC AND FOLK PRESENTS REG MEUROSS,OXFORD, Holywell Music Rooms,Fri 13th Jul 2018, 7:00pm,£13.75
I BRING TO YOU-THE HOT FLUSH SUMMER TOUR 2018,LEEDS, Morley United Services Club,Fri 13th Jul 2018, 7:00pm,£11.00
JULIAN NICHOLAS' VERDICT JAZZ ALL-STARS,BRIGHTON , The Verdict,Fri 13th Jul 2018, 7:00pm,£16.50
